Tarifa,Descripción,Cargo,Unidades,Estado,Municipio,Division,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,ESCARCEGA,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,ESCARCEGA,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,ESCARCEGA,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,HECELCHAKAN,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,HECELCHAKAN,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,HECELCHAKAN,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,HECELCHAKAN,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,HOPELCHEN,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,HOPELCHEN,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,HOPELCHEN,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,HOPELCHEN,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,PALIZADA,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,PALIZADA,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,PALIZADA,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,PALIZADA,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CAMPECHE,TENABO,PENINSULAR,410.63,410.63,410.63,410.63,410.63,410.63
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CAMPECHE,TENABO,PENINSULAR,1.87,1.885,1.885,1.936,1.975,1.919
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CAMPECHE,TENABO,PENINSULAR,324.9,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CAMPECHE,TENABO,PENINSULAR,270.04,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,ACACOYAGUA,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ACACOYAGUA,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,ACACOYAGUA,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,ACACOYAGUA,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,ACALA,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Variable (Energía),$/kWh,CHIAPAS,ACALA,SURESTE,1.343,1.353,1.353,1.388,1.415,1.376
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Distribución,$/kW,CHIAPAS,ACALA,SURESTE,482.44,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Capacidad,$/kW,CHIAPAS,ACALA,SURESTE,220.59,,,,,
GDBT,Gran demanda baja tensión mayor a 25 kW-mes,Fijo,$/mes,CHIAPAS,ACAPETAHUA,SURESTE,585.06,585.06,585.06,585.06,585.06,585.06
